Date,Open,Max,Min,Close,Diff
110/12/08,25.05,25.10,24.90,25.05,+0.10
110/12/09,25.10,25.25,24.95,25.00,-0.05
110/12/10,25.00,25.05,24.85,24.95,-0.05
110/12/13,25.00,25.10,24.95,25.00,+0.05
110/12/14,24.85,24.85,24.65,24.70,-0.30
110/12/15,24.65,24.80,24.65,24.70, 0.00
110/12/16,24.80,24.85,24.70,24.85,+0.15
110/12/17,24.85,25.10,24.75,25.05,+0.20
110/12/20,24.80,24.85,24.60,24.65,-0.40
110/12/21,24.60,24.95,24.60,24.75,+0.10
110/12/22,24.90,24.95,24.75,24.80,+0.05
110/12/23,24.85,25.00,24.80,24.95,+0.15
110/12/24,25.00,25.05,24.90,25.00,+0.05
110/12/27,25.00,25.05,24.90,25.00, 0.00
110/12/28,25.00,25.05,24.95,25.05,+0.05
110/12/29,25.05,25.30,25.05,25.30,+0.25
110/12/30,25.30,25.40,25.25,25.30, 0.00
111/01/03,25.30,25.50,25.20,25.20,-0.10
111/01/04,25.25,25.45,25.20,25.40,+0.20
111/01/05,25.30,25.45,25.20,25.25,-0.15
111/01/06,25.20,25.45,25.15,25.40,+0.15
111/01/07,25.55,25.95,25.50,25.75,+0.35
111/01/10,25.70,25.70,25.40,25.50,-0.25
111/01/11,25.50,25.95,25.35,25.85,+0.35
111/01/12,25.85,26.10,25.75,25.90,+0.05
111/01/13,25.90,26.30,25.85,26.30,+0.40
111/01/14,26.20,26.30,25.85,25.90,-0.40
111/01/17,26.00,26.00,25.80,25.85,-0.05
111/01/18,25.85,26.00,25.75,25.80,-0.05
111/01/19,25.65,25.85,25.60,25.70,-0.10
111/01/20,25.65,25.90,25.65,25.85,+0.15
111/01/21,25.65,25.75,25.25,25.35,-0.50
111/01/24,25.05,25.35,25.05,25.20,-0.15
111/01/25,25.00,25.20,24.95,25.15,-0.05
111/01/26,25.10,25.40,25.10,25.25,+0.10
111/02/07,25.05,25.60,25.00,25.50,+0.25
111/02/08,25.55,25.95,25.50,25.80,+0.30
111/02/09,25.80,26.05,25.80,25.90,+0.10
111/02/10,26.00,26.10,25.70,25.85,-0.05
111/02/11,25.65,25.70,25.35,25.60,-0.25
111/02/14,25.35,25.50,25.20,25.45,-0.15
111/02/15,25.50,25.50,25.10,25.20,-0.25
111/02/16,25.35,25.50,25.25,25.35,+0.15
111/02/17,25.50,25.55,25.30,25.40,+0.05
111/02/18,25.30,25.50,25.20,25.40, 0.00
111/02/21,25.30,25.55,25.20,25.50,+0.10
111/02/22,25.35,25.40,25.10,25.35,-0.15
111/02/23,25.30,25.35,25.20,25.20,-0.15
