Date,Close,Price_Change,MACD,KD_diff,RSI,MA_5_to_10,MA_10_to_20,MA_5_to_20
2020/04/22,16.0,0.14999999999999858,-0.1901337987096383,-0.10590519452586034,55.69620253164556,0.03500000000000014,0.4400000000000013,0.4750000000000014
2020/04/23,16.15,-0.04999999999999716,-0.18941868007127027,-0.06274518842280269,61.03896103896102,-0.120000000000001,0.4175000000000004,0.29749999999999943
2020/04/24,16.1,0.29999999999999716,-0.19068838848768976,-0.05699041632681734,58.108108108108134,-0.25000000000000355,0.38000000000000256,0.129999999999999
2020/04/27,16.4,0.0,-0.16557846330411508,-0.009426087343085143,59.74025974025973,-0.355000000000004,0.37500000000000355,0.019999999999999574
2020/04/28,16.4,0.3500000000000014,-0.14401851094314821,-0.015237604883002465,59.21052631578948,-0.26500000000000057,0.32500000000000284,0.060000000000002274
2020/04/29,16.75,0.3500000000000014,-0.09756534586326637,0.04180641695276899,60.75949367088609,-0.06999999999999673,0.2224999999999966,0.15249999999999986
2020/04/30,17.1,-0.6000000000000014,-0.03213833224383578,0.10030331817351978,60.25641025641028,0.08999999999999986,0.1750000000000007,0.26500000000000057
2020/05/04,16.5,0.05000000000000071,-0.028374850550619612,-0.0038982860646726847,55.29411764705882,0.20500000000000185,0.08000000000000185,0.2850000000000037
2020/05/05,16.55,-0.1999999999999993,-0.021114289673590747,-0.02116161560805252,47.94520547945207,0.25500000000000256,0.0074999999999967315,0.2624999999999993
2020/05/06,16.35,0.04999999999999716,-0.03113961332066495,-0.051437044091884154,37.31343283582092,0.22000000000000242,-0.002500000000001279,0.21750000000000114
2020/05/07,16.4,0.0,-0.034650740242778255,-0.03833414018987147,43.333333333333286,0.10999999999999943,0.0024999999999977263,0.11249999999999716
2020/05/08,16.4,0.3000000000000007,-0.037006742928280545,-0.01870404583356705,42.372881355932144,-0.054999999999999716,0.002500000000001279,-0.05249999999999844
2020/05/11,16.7,-0.1999999999999993,-0.01449926078240793,0.040879489213900944,49.206349206349195,-0.07499999999999929,0.042500000000000426,-0.03249999999999886
2020/05/12,16.5,0.14999999999999858,-0.012654375787409577,0.012222167338959533,57.40740740740739,-0.09499999999999886,0.02999999999999403,-0.06500000000000483
2020/05/13,16.65,-0.34999999999999787,0.0009010683059642588,0.007002295035483996,61.81818181818183,-0.060000000000002274,0.057500000000000995,-0.002500000000001279
2020/05/14,16.3,-0.05000000000000071,-0.016409066017526897,-0.07396991346592224,52.54237288135597,-0.035000000000003695,0.057500000000000995,0.0224999999999973
2020/05/15,16.25,-0.05000000000000071,-0.03377274315396761,-0.11589905865336456,52.54237288135592,0.01999999999999602,0.0,0.01999999999999602
2020/05/18,16.2,0.05000000000000071,-0.050980493125209136,-0.09794770582800955,46.296296296296305,-0.05000000000000071,0.0024999999999977263,-0.047500000000002984
2020/05/19,16.25,-0.05000000000000071,-0.059892770246552374,-0.057609304801031894,47.272727272727295,-0.06999999999999673,-0.002500000000001279,-0.07249999999999801
2020/05/20,16.2,0.1999999999999993,-0.07018138884308556,-0.04448601470766601,38.77551020408161,-0.14499999999999602,-0.022500000000000853,-0.16749999999999687
2020/05/21,16.4,-0.25,-0.061488068497425274,0.04783838941466936,34.78260869565209,-0.125,-0.04250000000000398,-0.16750000000000398
2020/05/22,16.15,0.15000000000000213,-0.07391936374230923,-0.030325821194128064,41.025641025640965,-0.11999999999999744,-0.06750000000000256,-0.1875
2020/05/25,16.3,0.3000000000000007,-0.07085078464650607,0.024381248118871046,43.90243902439023,-0.060000000000002274,-0.11749999999999972,-0.177500000000002
2020/05/26,16.6,0.04999999999999716,-0.04370758695439392,0.1319627034174033,55.8139534883721,0.0,-0.11749999999999616,-0.11749999999999616
2020/05/27,16.65,-0.14999999999999858,-0.017954852728902182,0.14253405805435126,55.8139534883721,0.0899999999999963,-0.129999999999999,-0.0400000000000027
2020/05/28,16.5,-0.25,-0.009539407364435704,0.05954338220000094,52.1739130434783,0.08999999999999986,-0.09749999999999659,-0.0074999999999967315
2020/05/29,16.25,0.3999999999999986,-0.02278041846219736,-0.05585203707549169,39.99999999999999,0.10999999999999943,-0.054999999999999716,0.054999999999999716
2020/06/01,16.65,0.3500000000000014,-0.0009859921887951373,0.0721192602316506,53.06122448979589,0.13500000000000156,-0.017500000000001847,0.11749999999999972
2020/06/02,17.0,0.3500000000000014,0.044020877309609574,0.11465369807195258,56.60377358490569,0.14000000000000412,0.03500000000000014,0.17500000000000426
2020/06/03,17.35,0.0,0.10670123515241059,0.11200849839865612,69.81132075471697,0.16499999999999915,0.10000000000000142,0.26500000000000057
2020/06/04,17.35,0.14999999999999858,0.15459380913007692,0.05129379182938543,71.15384615384617,0.23999999999999844,0.14750000000000085,0.3874999999999993
2020/06/05,17.5,0.5500000000000007,0.2023205402051147,0.048291667229721114,74.07407407407409,0.3549999999999969,0.2275000000000027,0.5824999999999996
2020/06/08,18.05,0.09999999999999787,0.2812822749196826,0.04588488593904161,78.12500000000001,0.4599999999999973,0.3350000000000044,0.7950000000000017
2020/06/09,18.15,0.3500000000000014,0.3479185938565159,0.0036036357982778267,80.00000000000003,0.5350000000000001,0.40749999999999886,0.942499999999999
